"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"book","3027499","Ryan  Calo and A. Michael Froomkin and Ian  Kerr and Ryan  Calo and A. Michael Froomkin and Ian  Kerr","","","","","","","","","","","","","","","","2016","","Robot Law","","","1783476729, 9781783476725","","Edward Elgar Publishing, Incorporated",""
"article","1716084","Christopher M. Gifford and Russell  Webb and James  Bley and Daniel  Leung and Mark  Calnon and Joseph  Makarewicz and Bryan  Banz and Arvin  Agah","","","","A Novel Low-cost, Limited-resource Approach to Autonomous Multi-robot Exploration and Mapping","186--202","","17","Distributed robots, Low-cost SLAM, Mobile robots, Multi-robot team, Planetary exploration","10.1016/j.robot.2009.09.014","Robot. Auton. Syst.","February, 2010","58","2","","February","2010","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","3008316","Selma  &#378;Abanovi&#263; and Wan-Ling  Chang","","","","Socializing Robots: Constructing Robotic Sociality in the Design and Use of the Assistive Robot PARO","537--551","","15","Assistive robots, Eldercare, Human---robot interaction, Social construction of technology, Social robot","10.1007/s00146-015-0636-1","AI Soc.","November  2016","31","4","","November","2016","0951-5666","","","","","","Springer-Verlag","London, UK, UK"
"article","3029762","A.  Asnafi","","","","A Method to Investigate General Optimal Maneuvers for Kinematically Reducible Robotic Locomotion Systems","799--813","","15","Biomimetic robots, Fiber bundle structure, Geometric mechanics, Robot maneuverability, Robotic locomotion system, Under actuated systems","10.1007/s10846-016-0369-5","J. Intell. Robotics Syst.","December  2016","84","1-4","","December","2016","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1274586","Tony J. Prescott","","","","Forced Moves or Good Tricks in Design Space? Landmarks in the Evolution of Neural Mechanisms for Action Selection","9--31","","23","Precambrian trace fossils, action selection, behavior-based robots, computational neuroscience, design space, nervous system evolution","10.1177/1059712306076252","Adaptive Behavior - Animals, Animats, Software Agents, Robots, Adaptive Systems","March     2007","15","1","","March","2007","1059-7123","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","1820107","T. M. Anand","","","","Reactive Deformation of Path for Navigation Among Dynamic Obstacles","544--549","","6","dynamic obstacles, elastic strip, mobile robot, motion/path planning, reactive planning, robot dynamics, robot kinematics","","","","","","","","2009","","Proceedings of the 2009 International Conference on Robotics and Biomimetics","ROBIO'09","","978-1-4244-4774-9","Guilin, China","IEEE Press","Piscataway, NJ, USA"
"technical report","870123","Graham  Horton and Vidyadhar G. Kulkarni and   Author: and and K Trivedi","","","","","","","","","","","","","","","","1996","","FLUID STOCHASTIC PETRI NETS: THEORY, APPLICATIONS, AND SOLUTION","","","","","Institute for Computer Applications in Science and Engineering (ICASE)",""
"article","1176974","Robert  Sparrow and Linda  Sparrow","","","","In the Hands of Machines? The Future of Aged Care","141--161","","21","Aged care, Assistive technology, Electronic monitoring, Ethics, Human---robot interaction, Robots, Social robotics","10.1007/s11023-006-9030-6","Minds Mach.","May       2006","16","2","","May","2006","0924-6495","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2161085","Paul S. Haynes and Lyuba  Alboul and Jacques  Penders","","","","Dynamic Graph-based Search in Unknown Environments","2--13","","12","Dynamic search, Graph theory, Multi-robot localisation, Team robotics","10.1016/j.jda.2011.06.004","J. of Discrete Algorithms","April, 2012","12","","","April","2012","1570-8667","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","2552060","Milan  Lukic and Ivan  Stojmenovic","","","","Energy-Balanced Matching and Sequence Dispatch of Robots to Events: Pairwise Exchanges and Sensor Assisted Robot Coordination","249--253","","5","robot coordination, wireless sensor networks","10.1109/MASS.2013.45","","","","","","","2013","","Proceedings of the 2013 IEEE 10th International Conference on Mobile Ad-Hoc and Sensor Systems","MASS '13","","978-1-4799-3408-9","","IEEE Computer Society","Washington, DC, USA"
"article","2678655","Wendi  Song and Xiangzhou  Wang and Shuhua  Zheng and Yingzi  Lin","","","","Mobile Robot Control by BCI Based on Motor Imagery","383--387","","5","Brain-Robot Interface(BRI), EEG, Wavelet-CSP, SVM, Robot Control","10.1109/IHMSC.2014.194","","","","","","","2014","","Proceedings of the 2014 Sixth International Conference on Intelligent Human-Machine Systems and Cybernetics - Volume 02","IHMSC '14","","978-1-4799-4955-7","","IEEE Computer Society","Washington, DC, USA"
"article","2211842","B. A. Jones and I. D. Walker","","","","Kinematics for Multisection Continuum Robots","43--55","","13","Biologically inspired robots, continuum robot, kinematics, tentacle, trunk","10.1109/TRO.2005.861458","Trans. Rob.","November 2006","22","1","","November","2006","1552-3098","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","3054075","Junghan  Baek and and Keemin  Sohn","","","","Deep-Learning Architectures to Forecast Bus Ridership at the Stop and Stop-To-Stop Levels for Dense and Crowded Bus Networks","861--885","","25","","10.1080/08839514.2016.1277291","Appl. Artif. Intell.","2016","30","9","","October","2016","0883-9514","","","","","","Taylor &amp; Francis, Inc.","Bristol, PA, USA"
"article","2533567","Abdelghani  Chibani and Yacine  Amirat and Samer  Mohammed and Eric  Matson and Norihiro  Hagita and Marcos  Barreto","","","","Ubiquitous Robotics: Recent Challenges and Future Trends","1162--1172","","11","Ambient intelligence, Cloud robotics, Networked robots, Ubiquitous robots","10.1016/j.robot.2013.04.003","Robot. Auton. Syst.","November, 2013","61","11","","November","2013","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","2906922","James  Kennedy and Paul  Baxter and Emmanuel  Senft and Tony  Belpaeme","","","","Heart vs Hard Drive: Children Learn More From a Human Tutor Than a Social Robot","451--452","","2","human-robot interaction, robot tutor, social robot","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"article","1228747","Fitzgerald  Steele,Jr. and Geb  Thomas","","","","Directed Stigmergy-based Control for Multi-robot Systems","223--230","","8","human robot interaction, multi-robot, robotics, stigmergy, supervisory control, swarm, user interface","10.1145/1228716.1228747","","","","","","","2007","","Proceedings of the ACM/IEEE International Conference on Human-robot Interaction","HRI '07","","978-1-59593-617-2","Arlington, Virginia, USA","ACM","New York, NY, USA"
"article","2000204","Gilgueng  Hwang and R&#233;my  Braive and Laurent  Couraud and Antonella  Cavanna and Ouerghi  Abdelkarim and Isabelle  Robert-Philip and Alexios  Beveratos and Isabelle  Sagnes and Sinan  Haliyo and St&#233;phane  R&#233;gnier","","","","Electro-osmotic Propulsion of Helical Nanobelt Swimmers","806--819","","14","Biologically inspired robots, and control, biomimetics, design, human-centered and life-like robotics, mechanics, micro/nanorobots","10.1177/0278364911407231","Int. J. Rob. Res.","June      2011","30","7","","June","2011","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","591492","Gordon  Wyeth","","","","Training a Vision Guided Mobile Robot","381--394","","14","machine vision</kwd>, mobile robots</kwd>, neural networks</kwd>, robot learning</kwd>","10.1023/A:1008870625003","Auton. Robots","July-August 1998","5","3-4","","July","1998","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2177878","Jaap  Ham and Ren&#233;  Bokhorst and Raymond  Cuijpers and David  van der Pol and John-John  Cabibihan","","","","Making Robots Persuasive: The Influence of Combining Persuasive Strategies (Gazing and Gestures) by a Storytelling Robot on Its Persuasive Power","71--83","","13","Nao, gazing, gestures, head movement, persuasion, persuasive robotics, persuasive technology, social robotics, storytelling robot","10.1007/978-3-642-25504-5_8","","","","","","","2011","","Proceedings of the Third International Conference on Social Robotics","ICSR'11","","978-3-642-25503-8","Amsterdam, The Netherlands","Springer-Verlag","Berlin, Heidelberg"
"article","1503494","Flavien  Paccot and Nicolas  Andreff and Philippe  Martinet","","","","A Review on the Dynamic Control of Parallel Kinematic Machines: Theory and Experiments","395--416","","22","Parallel robot, dynamics, motion control","10.1177/0278364908096236","Int. J. Rob. Res.","March     2009","28","3","","March","2009","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","1703976","Stephen  Matysik and Jennifer  Walter","","","","Using a Pocket-filling Strategy for Distributed Reconfiguration of a System of Hexagonal Metamorphic Robots in an Obstacle-cluttered Environment","3266--3273","","8","distributed reconfiguration, hexagonal robots, metamorphic robots, obstacle envelopment, self-reconfigurable robots","","","","","","","","2009","","Proceedings of the 2009 IEEE International Conference on Robotics and Automation","ICRA'09","","978-1-4244-2788-8","Kobe, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2330836","Stephane  Doncieux and Yaochu  Jin and Jean-Baptiste  Mouret","","","","Evo-devo-robo Workshop Program","355--356","","2","developmental robotics, evolutionary robotics","10.1145/2330784.2330836","","","","","","","2012","","Proceedings of the 14th Annual Conference Companion on Genetic and Evolutionary Computation","GECCO '12","","978-1-4503-1178-6","Philadelphia, Pennsylvania, USA","ACM","New York, NY, USA"
"article","1355841","Theodore  Pachidis and John  Lygouras and Kostas  Tarchanidis","","","","HumanPT: An Open-source, HumanPT Architecture-based, Robotic Application for Low Cost Robotic Tasks","385--420","","36","HumanPT architecture, HumanPT robotic application, Robot control, Robot trajectory generation, Sensors perception, System performance","10.1007/s10846-007-9193-2","J. Intell. Robotics Syst.","April     2008","51","4","","April","2008","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1884921","Yury F. Golubev and Victor V. Korianov","","","","Insectomorphic Robot Maneuvering on a Movable Ball","303--312","","10","adaptive control, legged robot, stabilization","","","","","","","","2010","","Proceedings of the 11th International Conference on Simulation of Adaptive Behavior: From Animals to Animats","SAB'10","","3-642-15192-2, 978-3-642-15192-7","Paris, France","Springer-Verlag","Berlin, Heidelberg"
"article","1918395","Pranjal  Awasthi and Avrim  Blum and Or  Sheffet","","","","Stability Yields a PTAS for k-Median and k-Means Clustering","309--318","","10","","10.1109/FOCS.2010.36","","","","","","","2010","","Proceedings of the 2010 IEEE 51st Annual Symposium on Foundations of Computer Science","FOCS '10","","978-0-7695-4244-7","","IEEE Computer Society","Washington, DC, USA"
"article","1774681","Prasanna  Velagapudi and Paul  Scerri and Katia  Sycara and Huadong  Wang and Michael  Lewis","","","","Potential Scaling Effects for Asynchronous Video in Multirobot Search","35--42","","8","evaluation, human-robot interaction, metrics, multi-robot system","10.1145/1774674.1774681","","","","","","","2008","","Proceedings of the 8th Workshop on Performance Metrics for Intelligent Systems","PerMIS '08","","978-1-60558-293-1","Gaithersburg, Maryland","ACM","New York, NY, USA"
"article","2906956","Chao  Shi and Satoru  Satake and Takayuki  Kanda and Hiroshi  Ishiguro","","","","How Would Store Managers Employ Social Robots?","519--520","","2","encouraging visitors, human-robot interaction, robots in shopping context, social robots","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"article","1434222","R. J. Duro and M.  Gra&#241;a and J.  Lope","","","","On the Need of Hybrid Intelligent Systems in Modular and Multi Robotics","641--648","","8","Intelligent robotics, modular robotics, multi-robot systems","10.1007/978-3-540-87656-4_79","","","","","","","2008","","Proceedings of the 3rd International Workshop on Hybrid Artificial Intelligence Systems","HAIS '08","","978-3-540-87655-7","Burgos, Spain","Springer-Verlag","Berlin, Heidelberg"
"article","1973463","Robert  Pucher and Paul  Kleinrath and Alexander  Hofmann and Fritz  Schm&#246;llebeck","","","","How Students Teach Robots to Think: The Example of the Vienna Cubes a Robot Soccer Team","17--21","","5","artificial intelligence, fully autonomous robot, robocup, robot soccer, student project","","","","","","","","2006","","Proceedings of the 8th WSEAS International Conference on Automatic Control, Modeling &#38; Simulation","ACMOS'06","","960-8457-42-4","Prague, Czech Republic","World Scientific and Engineering Academy and Society (WSEAS)","Stevens Point, Wisconsin, USA"
"article","2693379","Donglin  Niu and Jennifer G. Dy and and Michael I. Jordan","","","","Iterative Discovery of Multiple AlternativeClustering Views","1340--1353","","14","","10.1109/TPAMI.2013.180","IEEE Trans. Pattern Anal. Mach. Intell.","July 2014","36","7","","July","2014","0162-8828","","","","","","IEEE Computer Society","Washington, DC, USA"
"article","2947763","Jean-Philippe  Saut and Serena  Ivaldi and Anis  Sahbani and Philippe  Bidaud","","","","Grasping Objects Localized from Uncertain Point Cloud Data","1742--1754","","13","Inverse kinematics, Multi-fingered hand, Robotic grasping","10.1016/j.robot.2014.07.011","Robot. Auton. Syst.","December 2014","62","12","","December","2014","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","2598357","Timothy  Solum and Brent E. Eskridge and Ingo  Schlupp","","","","Consensus Costs and Conflict in a Collective Movement","49--56","","8","collective movement, conflict, coordination, swarm robotics","10.1145/2576768.2598357","","","","","","","2014","","Proceedings of the 2014 Annual Conference on Genetic and Evolutionary Computation","GECCO '14","","978-1-4503-2662-9","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","3004032","Swarnava  Dey and Arijit  Mukherjee","","","","Robotic SLAM: A Review from Fog Computing and Mobile Edge Computing Perspective","153--158","","6","Fog Computing, Mobile Edge Computing, SLAM, offloading, robotics","10.1145/3004010.3004032","","","","","","","2016","","Adjunct Proceedings of the 13th International Conference on Mobile and Ubiquitous Systems: Computing Networking and Services","MOBIQUITOUS 2016","","978-1-4503-4759-4","Hiroshima, Japan","ACM","New York, NY, USA"
"article","1121264","Cristen  Torrey and Aaron  Powers and Matthew  Marge and Susan R. Fussell and Sara  Kiesler","","","","Effects of Adaptive Robot Dialogue on Information Exchange and Social Relations","126--133","","8","adaptive dialogue, collaboration, common ground, human-robot communication, human-robot interaction, perspective taking, social robots","10.1145/1121241.1121264","","","","","","","2006","","Proceedings of the 1st ACM SIGCHI/SIGART Conference on Human-robot Interaction","HRI '06","","1-59593-294-1","Salt Lake City, Utah, USA","ACM","New York, NY, USA"
"article","2447612","Doori  Jo and Jooyun  Han and Kyungmi  Chung and Sukhan  Lee","","","","Empathy Between Human and Robot?","151--152","","2","emotional contagion, empathy, human robot interaction, presence, robot companion, social robot","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","1449749","Cynthia  Breazeal","","","","Living Better with Robots","209--210","","2","human robot interaction, robots","10.1145/1449715.1449749","","","","","","","2008","","Proceedings of the 21st Annual ACM Symposium on User Interface Software and Technology","UIST '08","","978-1-59593-975-3","Monterey, CA, USA","ACM","New York, NY, USA"
"article","2421554","Fran&#231;ois  Pomerleau and Ming  Liu and Francis  Colas and Roland  Siegwart","","","","Challenging Data Sets for Point Cloud Registration Algorithms","1705--1711","","7","Field robots, computer vision, field and service robotics, range sensing, search and rescue robots, sensing and perception","10.1177/0278364912458814","Int. J. Rob. Res.","December  2012","31","14","","December","2012","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","1801457","R. J. Duro and M.  Gra&#241;a and J.  de Lope","","","","On the Potential Contributions of Hybrid Intelligent Approaches to Multicomponent Robotic System Development","2635--2648","","14","Intelligent robotics, Modular robotics, Multi-robot systems","10.1016/j.ins.2010.02.005","Inf. Sci.","July, 2010","180","14","","July","2010","0020-0255","","","","","","Elsevier Science Inc.","New York, NY, USA"
"article","850459","","","","","Internet-Based Teleoperation Using VE Modeling Based on Single Images","485--","","","virtual environment, visualization, teleoperation, robotics","","","","","","","","2000","","Proceedings of the International Conference on Information Visualisation","IV '00","","0-7695-0743-3","","IEEE Computer Society","Washington, DC, USA"
"article","2046800","C&#233;sar  Rivadeneyra and Mark  Campbell","","","","Probabilistic Multi-level Maps from LIDAR Data","1508--1526","","19","3D Mapping, indoor/outdoor mapping, robotics","10.1177/0278364910392405","Int. J. Rob. Res.","October   2011","30","12","","October","2011","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2425315","Nutan  Chen and Keng Peng Tee and Chee-Meng  Chew and Rui  Yan","","","","Intuitive Interaction for Robotic Grasping","105--111","","7","grasping, human-robot interface, infrared, teleoperation","10.1145/2425296.2425315","","","","","","","2012","","Proceedings of the Workshop at SIGGRAPH Asia","WASA '12","","978-1-4503-1835-8","Singapore, Singapore","ACM","New York, NY, USA"
"article","2696497","Maha  Salem and Gabriella  Lakatos and Farshid  Amirabdollahian and Kerstin  Dautenhahn","","","","Would You Trust a (Faulty) Robot?: Effects of Error, Task Type and Personality on Human-Robot Cooperation and Trust","141--148","","8","cooperation, social human-robot interaction, trust","10.1145/2696454.2696497","","","","","","","2015","","Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '15","","978-1-4503-2883-8","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2629814","Ji-Hwan  Son and Hyo-Sung  Ahn","","","","Bio-insect and Artificial Robot Interaction: Learning Mechanism and Experiment","1127--1141","","15","Bio-insect and artificial robot interaction, Fuzzy logic, Reinforcement learning, Robot intelligence","10.1007/s00500-013-1133-4","Soft Comput.","June      2014","18","6","","June","2014","1432-7643","","","","","","Springer-Verlag","Berlin, Heidelberg"
"article","1603570","Yogesh  Girdhar and Gregory  Dudek","","","","Optimal Online Data Sampling or How to Hire the Best Secretaries","292--298","","7","optimal online sampling, secretary problem, GD-secretary problem, sensor placement, computer vision","10.1109/CRV.2009.30","","","","","","","2009","","Proceedings of the 2009 Canadian Conference on Computer and Robot Vision","CRV '09","","978-0-7695-3651-4","","IEEE Computer Society","Washington, DC, USA"
"technical report","870198","Liu  Kwan-Ma and Diann  Smith and   Author: and and  Han-Wei Shen","","","","","","","","","","","","","","","","1998","","Efficient Encoding and Rendering of Time-varying Volume Data","","","","","Institute for Computer Applications in Science and Engineering (ICASE)",""
"article","2417899","Jeremiah  Blocki and Avrim  Blum and Anupam  Datta and Or  Sheffet","","","","The Johnson-Lindenstrauss Transform Itself Preserves Differential Privacy","410--419","","10","Differential privacy, Graph cuts","10.1109/FOCS.2012.67","","","","","","","2012","","Proceedings of the 2012 IEEE 53rd Annual Symposium on Foundations of Computer Science","FOCS '12","","978-0-7695-4874-6","","IEEE Computer Society","Washington, DC, USA"
"article","1972893","Alexander  Stoytchev","","","","Self-detection in Robots: A Method Based on Detecting Temporal Contingencies???","1--21","","21","Autonomous robotics, Behavior-based robotics, Developmental robotics, Self-detection, Self/other discrimination","10.1017/S0263574710000755","Robotica","January 2011","29","1","","January","2011","0263-5747","","","","","","Cambridge University Press","New York, NY, USA"
"article","1733465","Ying-ying  Li and Yun-hui  Liu","","","","Tracking Point or Diffusing Targets Using Mobile Sensor Networks Under Sensing Noises","564--569","","6","","","","","","","","","2009","","Proceedings of the 2009 IEEE/RSJ International Conference on Intelligent Robots and Systems","IROS'09","","978-1-4244-3803-7","St. Louis, MO, USA","IEEE Press","Piscataway, NJ, USA"
"article","2081501","Eric  Diller and Chytra  Pawashe and Steven  Floyd and Metin  Sitti","","","","Assembly and Disassembly of Magnetic Mobile Micro-robots Towards Deterministic 2-D Reconfigurable Micro-systems","1667--1680","","14","Cellular and modular robots, micro/nano robots, parallel robots","10.1177/0278364911416140","Int. J. Rob. Res.","December  2011","30","14","","December","2011","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2014461","Jean-Nicolas  Ouellet and Veneree  Randrianarisoa","","","","To Watch or Not to Watch: Video Summarization with Explicit Duplicate Elimination","340--346","","7","Video summarization, SURF keypoints, Redundancy elimination","10.1109/CRV.2011.52","","","","","","","2011","","Proceedings of the 2011 Canadian Conference on Computer and Robot Vision","CRV '11","","978-0-7695-4362-8","","IEEE Computer Society","Washington, DC, USA"
"article","2833318","Jurek  Czyzowicz and Stefan  Dobrev and Konstantinos  Georgiou and Evangelos  Kranakis and Fraser  MacQuarrie","","","","Evacuating Two Robots from Multiple Unknown Exits in a Circle","28:1--28:8","28","8","algorithm, circle, evacuation, mobile robots, searching","10.1145/2833312.2833318","","","","","","","2016","","Proceedings of the 17th International Conference on Distributed Computing and Networking","ICDCN '16","","978-1-4503-4032-8","Singapore, Singapore","ACM","New York, NY, USA"
"phdthesis","1104162","Vandi  Verma","","","Chair-Reid  Simmons","","","","","","","","","","","","","2005","","Tractable Particle Filters for Robot Fault Diagnosis","","","0-542-10965-4","","Carnegie Mellon University","Pittsburgh, PA, USA"
"article","2024971","Benjam&#237;n  Tovar and Luigi  Freda and Steven M. Lavalle","","","","Learning Combinatorial Map Information from Permutations of Landmarks","1143--1156","","14","Mapping, cognitive robotics, learning and adaptive systems, localization, mobile and distributed robotics SLAM","10.1177/0278364910381416","Int. J. Rob. Res.","August    2011","30","9","","August","2011","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","1953230","Michael  Ferguson and Nick  Webb and Tomek  Strzalkowski","","","","Nelson: A Low-cost Social Robot for Research and Education","225--230","","6","ROS, robotics, social robotics","10.1145/1953163.1953230","","","","","","","2011","","Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education","SIGCSE '11","","978-1-4503-0500-6","Dallas, TX, USA","ACM","New York, NY, USA"
"article","2880397","Jeremy  Auerbach and Andrew R  Kanarek and Gordon M  Burghardt","","","","To Play or Not to Play? That's a Resource Abundance Question","354--361","","8","Play, behavioral ecology, evolutionary origins, mathematical models, resources, spite","10.1177/1059712315611188","Adaptive Behavior - Animals, Animats, Software Agents, Robots, Adaptive Systems","12 2015","23","6","","December","2015","1059-7123","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2980485","Zhuoyu  Shen and Yan  Wu","","","","Investigation of Practical Use of Humanoid Robots in Elderly Care Centres","63--66","","4","human-robot interaction, humanoid robots, social robotics","10.1145/2974804.2980485","","","","","","","2016","","Proceedings of the Fourth International Conference on Human Agent Interaction","HAI '16","","978-1-4503-4508-8","Biopolis, Singapore","ACM","New York, NY, USA"
"article","1493632","Wang  Guoqin and Xu  Meihua","","","","Research on Tightly Coupled Multi-Robot Architecture Using Microkernel-Based, Real-Time, Distributed Operating System","8--13","","6","Operating System, Microkernel, Distributed, Multi-Robot Architecture","10.1109/ISISE.2008.80","","","","","","","2008","","Proceedings of the 2008 International Symposium on Information Science and Engieering - Volume 01","ISISE '08","","978-0-7695-3494-7","","IEEE Computer Society","Washington, DC, USA"
"article","1861328","V&#237;ctor  Mart&#237;nez and Santiago  Alonso and Abraham  Guti&#233;rrez","","","","Hardware Circuit for the Application of Evolution Rules in a Transition P-system","89--92","","4","Bioinformatics, Digital systems, Membrane computing, Robotics","10.1007/s10015-010-0774-y","Artif. Life Robot.","August    2010","15","1","","August","2010","1433-5298","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","2377390","George  Lawton","","","","In The News","4--9","","6","robots, robotics, artificial intelligence, genomes, printable robotics","10.1109/MIS.2012.78","IEEE Intelligent Systems","July 2012","27","4","","July","2012","1541-1672","","","","","","IEEE Educational Activities Department","Piscataway, NJ, USA"
"article","2860159","Danial  Nakhaeinia and Pascal  Laferri�re and Pierre  Payeur and Robert  Lagani�re","","","","Safe Close-Proximity and Physical Human-Robot Interaction Using Industrial Robots","237--244","","8","human-robot interaction, compliant wrist, industrial robots, real time system, motion planning, robotics, proximity and contact feedback","10.1109/CRV.2015.38","","","","","","","2015","","Proceedings of the 2015 12th Conference on Computer and Robot Vision","CRV '15","","978-1-4799-1986-4","","IEEE Computer Society","Washington, DC, USA"
"article","2157832","Thammathip  Piumsomboon and Rory  Clifford and Christoph  Bartneck","","","","Demonstrating Maori Haka with Kinect and Nao Robots","429--430","","2","robot interaction, robotic puppeteering","10.1145/2157689.2157832","","","","","","","2012","","Proceedings of the Seventh Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '12","","978-1-4503-1063-5","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","2975971","Andreea  Lutac and Natalia  Chechina and Gerardo  Aragon-Camarasa and Phil  Trinder","","","","Towards Reliable and Scalable Robot Communication","12--23","","12","Erlang, ROS, Robotics, fault tolerance, scalability","10.1145/2975969.2975971","","","","","","","2016","","Proceedings of the 15th International Workshop on Erlang","Erlang 2016","","978-1-4503-4431-9","Nara, Japan","ACM","New York, NY, USA"
"article","3020218","Matthew  Rueben and Frank J. Bernieri and Cindy M. Grimm and William D. Smart","","","","Framing Effects on Privacy Concerns About a Home Telepresence Robot","435--444","","10","context, frames, human-robot interaction, privacy","10.1145/2909824.3020218","","","","","","","2017","","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4336-7","Vienna, Austria","ACM","New York, NY, USA"
"article","1469809","Shuying  Zhao and Wenjun  Tan and Shiguang  Wen and Chongshuang  Guo","","","","Research on Robotic Education Based on LEGO Bricks","733--736","","4","robotic education, robot, LEGO","10.1109/CSSE.2008.479","","","","","","","2008","","Proceedings of the 2008 International Conference on Computer Science and Software Engineering - Volume 05","CSSE '08","","978-0-7695-3336-0","","IEEE Computer Society","Washington, DC, USA"
"article","2764721","Travis  DeVautl and Seth  Forrest and Ian  Tanimoto and Terence  Soule and Robert  Heckendorn","","","","Learning from Demonstration for Distributed, Encapsulated Evolution of Autonomous Outdoor Robots","1381--1382","","2","evolutionary computation, learning from demonstration, robots","10.1145/2739482.2764721","","","","","","","2015","","Proceedings of the Companion Publication of the 2015 Annual Conference on Genetic and Evolutionary Computation","GECCO Companion '15","","978-1-4503-3488-4","Madrid, Spain","ACM","New York, NY, USA"
"article","3036647","Steffen  Planthaber and Michael  Maurus and Bertold  Bongardt and Martin  Mallwitz and Luis Manuel  Vaca Benitnez and Leif  Christensen and Florian  Cordes and Roland  Sonsalla and Tobias  Stark and Thomas  Roehr","","","","Controlling a Semi-Autonomous Robot Team From a Virtual Environment","417--417","","1","force feedback, robot control, virtual reality","10.1145/3029798.3036647","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"article","849574","","","","","Experiments in Sensing and Communication for Robot Convoy Navigation","2268--","","","RWI B12 mobile robots, autonomous mobile robots, cooperative systems, data communication, intelligent control, inter-robot communications, mobile robots, multiple robots, navigation, passive visual sensing, path planning, robot convoy navigation, robot vision","","","","","","","","1995","","Proceedings of the International Conference on Intelligent Robots and Systems-Volume 2 - Volume 2","IROS '95","","0-8186-7108-4","","IEEE Computer Society","Washington, DC, USA"
"article","2974809","Takahiro  Hirano and Masahiro  Shiomi and Takamasa  Iio and Mitsuhiko  Kimoto and Takuya  Nagashio and Ivan  Tanev and Katsunori  Shimohara and Norihiro  Hagita","","","","Communication Cues in a Human-Robot Touch Interaction","201--206","","6","robot touch, social robot","10.1145/2974804.2974809","","","","","","","2016","","Proceedings of the Fourth International Conference on Human Agent Interaction","HAI '16","","978-1-4503-4508-8","Biopolis, Singapore","ACM","New York, NY, USA"
"article","2906950","Matthew  Rueben and Frank J. Bernieri and Cindy M. Grimm and William D. Smart","","","","User Feedback on Physical Marker Interfaces for Protecting Visual Privacy from Mobile Robots","507--508","","2","human-robot interaction, interface design, privacy","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"book","1468042","Ulrich  Nehmzow","","","","","","","","","","","","","","","","2008","","Robot Behaviour: Design, Description, Analysis and Modelling","","1","184800396X, 9781848003965","","Springer Publishing Company, Incorporated",""
